object,level,seed,regime,policy,budget,n_improved,E_run
obj_03_pumpkin,0.2,1,10,random_1,0.2,12,0.179536962719974
obj_03_pumpkin,0.2,1,10,random_1,0.4,22,0.15916359741163572
obj_03_pumpkin,0.2,1,10,random_1,0.6,28,0.12216734410872646
obj_03_pumpkin,0.2,1,10,random_1,0.8,39,0.03772516981719659
obj_03_pumpkin,0.2,1,10,random_2,0.1,8,0.131450699333336
obj_03_pumpkin,0.2,1,10,random_2,0.2,12,0.08534302178596513
obj_03_pumpkin,0.2,1,10,random_2,0.4,24,0.08303721578953419
obj_03_pumpkin,0.2,1,10,random_2,0.6,33,0.03654543744240954
obj_03_pumpkin,0.2,1,10,random_2,0.8,40,0.07995265843799913
obj_03_pumpkin,0.2,1,10,random_3,0.1,4,0.33655425153413043
obj_03_pumpkin,0.2,1,10,random_3,0.2,9,0.3138844382520901
obj_03_pumpkin,0.2,1,10,random_3,0.4,19,0.09120557224337168
obj_03_pumpkin,0.2,1,10,random_3,0.6,28,0.1659456184558783
obj_03_pumpkin,0.2,1,10,random_3,0.8,39,0.11130867782481783
obj_03_pumpkin,0.2,1,10,random_4,0.1,3,0.3253408214899131
obj_03_pumpkin,0.2,1,10,random_4,0.2,6,0.3318873266638726
obj_03_pumpkin,0.2,1,10,random_4,0.4,14,0.4560895619993881
obj_03_pumpkin,0.2,1,10,random_4,0.6,24,0.3106750797144507
obj_03_pumpkin,0.2,1,10,random_4,0.8,32,0.31254357752252987
obj_03_pumpkin,0.2,2,10,mode_aware,0.1,14,0.19286685313284013
obj_03_pumpkin,0.2,2,10,mode_aware,0.2,28,0.07259274952407291
obj_03_pumpkin,0.2,2,10,mode_aware,0.4,48,0.01487821770081255
obj_03_pumpkin,0.2,2,10,mode_aware,0.6,48,0.01487821770081255
obj_03_pumpkin,0.2,2,10,mode_aware,0.8,48,0.01487821770081255
obj_03_pumpkin,0.2,2,10,e_opt,0.1,14,0.07268355371364585
obj_03_pumpkin,0.2,2,10,e_opt,0.2,28,0.028852032793330533
obj_03_pumpkin,0.2,2,10,e_opt,0.4,48,0.01487821770081255
obj_03_pumpkin,0.2,2,10,e_opt,0.6,48,0.01487821770081255
