object,level,seed,regime,policy,budget,n_improved,E_run
obj_03_pumpkin,0.2,1,100,random48_0,0.1,14,0.0599249865
obj_03_pumpkin,0.2,1,100,random48_0,0.2,28,0.103749347
obj_03_pumpkin,0.2,1,100,random48_0,0.4,48,0.00368435083
obj_03_pumpkin,0.2,1,100,random48_0,0.6,48,0.00368435083
obj_03_pumpkin,0.2,1,100,random48_0,0.8,48,0.00368435083
obj_03_pumpkin,0.2,1,100,random48_1,0.1,14,0.329667043
obj_03_pumpkin,0.2,1,100,random48_1,0.2,28,0.582482802
obj_03_pumpkin,0.2,1,100,random48_1,0.4,48,0.00368435083
obj_03_pumpkin,0.2,1,100,random48_1,0.6,48,0.00368435083
obj_03_pumpkin,0.2,1,100,random48_1,0.8,48,0.00368435083
obj_03_pumpkin,0.2,1,100,random48_2,0.1,14,0.044464909
obj_03_pumpkin,0.2,1,100,random48_2,0.2,28,0.0276206673
obj_03_pumpkin,0.2,1,100,random48_2,0.4,48,0.00368435083
obj_03_pumpkin,0.2,1,100,random48_2,0.6,48,0.00368435083
obj_03_pumpkin,0.2,1,100,random48_2,0.8,48,0.00368435083
obj_03_pumpkin,0.2,1,100,random48_3,0.1,14,0.300103965
obj_03_pumpkin,0.2,1,100,random48_3,0.2,28,0.0637794695
obj_03_pumpkin,0.2,1,100,random48_3,0.4,48,0.00368435083
obj_03_pumpkin,0.2,1,100,random48_3,0.6,48,0.00368435083
obj_03_pumpkin,0.2,1,100,random48_3,0.8,48,0.00368435083
obj_03_pumpkin,0.2,1,100,random48_4,0.1,14,0.063345343
obj_03_pumpkin,0.2,1,100,random48_4,0.2,28,0.0980868875
obj_03_pumpkin,0.2,1,100,random48_4,0.4,48,0.00368435083
obj_03_pumpkin,0.2,1,100,random48_4,0.6,48,0.00368435083
obj_03_pumpkin,0.2,1,100,random48_4,0.8,48,0.00368435083
obj_03_pumpkin,0.2,2,10,random48_0,0.1,14,0.0874398821
obj_03_pumpkin,0.2,2,10,random48_0,0.2,28,0.132491653
obj_03_pumpkin,0.2,2,10,random48_0,0.4,48,0.0148782177
obj_03_pumpkin,0.2,2,10,random48_0,0.6,48,0.0148782177
obj_03_pumpkin,0.2,2,10,random48_0,0.8,48,0.0148782177
obj_03_pumpkin,0.2,2,10,random48_1,0.1,14,0.156853477
obj_03_pumpkin,0.2,2,10,random48_1,0.2,28,0.121298266
obj_03_pumpkin,0.2,2,10,random48_1,0.4,48,0.0148782177
obj_03_pumpkin,0.2,2,10,random48_1,0.6,48,0.0148782177
obj_03_pumpkin,0.2,2,10,random48_1,0.8,48,0.0148782177
obj_03_pumpkin,0.2,2,10,random48_2,0.1,14,0.118642159
obj_03_pumpkin,0.2,2,10,random48_2,0.2,28,0.151240021
obj_03_pumpkin,0.2,2,10,random48_2,0.4,48,0.0148782177
obj_03_pumpkin,0.2,2,10,random48_2,0.6,48,0.0148782177
obj_03_pumpkin,0.2,2,10,random48_2,0.8,48,0.0148782177
obj_03_pumpkin,0.2,2,10,random48_3,0.1,14,0.121145523
obj_03_pumpkin,0.2,2,10,random48_3,0.2,28,0.130414708
obj_03_pumpkin,0.2,2,10,random48_3,0.4,48,0.0148782177
obj_03_pumpkin,0.2,2,10,random48_3,0.6,48,0.0148782177
obj_03_pumpkin,0.2,2,10,random48_3,0.8,48,0.0148782177
obj_03_pumpkin,0.2,2,10,random48_4,0.1,14,0.210258466
obj_03_pumpkin,0.2,2,10,random48_4,0.2,28,0.149306458
obj_03_pumpkin,0.2,2,10,random48_4,0.4,48,0.0148782177
obj_03_pumpkin,0.2,2,10,random48_4,0.6,48,0.0148782177
obj_03_pumpkin,0.2,2,10,random48_4,0.8,48,0.0148782177
obj_03_pumpkin,0.2,2,100,random48_0,0.1,14,0.13907621
obj_03_pumpkin,0.2,2,100,random48_0,0.2,28,0.0479889246
obj_03_pumpkin,0.2,2,100,random48_0,0.4,48,0.00149827894
obj_03_pumpkin,0.2,2,100,random48_0,0.6,48,0.00149827894
obj_03_pumpkin,0.2,2,100,random48_0,0.8,48,0.00149827894
obj_03_pumpkin,0.2,2,100,random48_1,0.1,14,0.218345537
obj_03_pumpkin,0.2,2,100,random48_1,0.2,28,0.11974872
obj_03_pumpkin,0.2,2,100,random48_1,0.4,48,0.00149827894
obj_03_pumpkin,0.2,2,100,random48_1,0.6,48,0.00149827894
obj_03_pumpkin,0.2,2,100,random48_1,0.8,48,0.00149827894
obj_03_pumpkin,0.2,2,100,random48_2,0.1,14,0.123890632
obj_03_pumpkin,0.2,2,100,random48_2,0.2,28,0.087221423
obj_03_pumpkin,0.2,2,100,random48_2,0.4,48,0.00149827894
obj_03_pumpkin,0.2,2,100,random48_2,0.6,48,0.00149827894
obj_03_pumpkin,0.2,2,100,random48_2,0.8,48,0.00149827894
obj_03_pumpkin,0.2,2,100,random48_3,0.1,14,0.106694564
obj_03_pumpkin,0.2,2,100,random48_3,0.2,28,0.0270132359
obj_03_pumpkin,0.2,2,100,random48_3,0.4,48,0.00149827894
obj_03_pumpkin,0.2,2,100,random48_3,0.6,48,0.00149827894
obj_03_pumpkin,0.2,2,100,random48_3,0.8,48,0.00149827894
obj_03_pumpkin,0.2,2,100,random48_4,0.1,14,0.0857167401
obj_03_pumpkin,0.2,2,100,random48_4,0.2,28,0.0212348325
obj_03_pumpkin,0.2,2,100,random48_4,0.4,48,0.00149827894
obj_03_pumpkin,0.2,2,100,random48_4,0.6,48,0.00149827894
obj_03_pumpkin,0.2,2,100,random48_4,0.8,48,0.00149827894
obj_03_pumpkin,0.2,3,10,random48_0,0.1,14,0.127569018
obj_03_pumpkin,0.2,3,10,random48_0,0.2,28,0.0768207171
obj_03_pumpkin,0.2,3,10,random48_0,0.4,48,0.010765752
obj_03_pumpkin,0.2,3,10,random48_0,0.6,48,0.010765752
obj_03_pumpkin,0.2,3,10,random48_0,0.8,48,0.010765752
obj_03_pumpkin,0.2,3,10,random48_1,0.1,14,0.133690071
obj_03_pumpkin,0.2,3,10,random48_1,0.2,28,0.0322231259
obj_03_pumpkin,0.2,3,10,random48_1,0.4,48,0.010765752
obj_03_pumpkin,0.2,3,10,random48_1,0.6,48,0.010765752
obj_03_pumpkin,0.2,3,10,random48_1,0.8,48,0.010765752
obj_03_pumpkin,0.2,3,10,random48_2,0.1,14,0.125868434
obj_03_pumpkin,0.2,3,10,random48_2,0.2,28,0.125702319
obj_03_pumpkin,0.2,3,10,random48_2,0.4,48,0.010765752
obj_03_pumpkin,0.2,3,10,random48_2,0.6,48,0.010765752
obj_03_pumpkin,0.2,3,10,random48_2,0.8,48,0.010765752
obj_03_pumpkin,0.2,3,10,random48_3,0.1,14,0.1680907
obj_03_pumpkin,0.2,3,10,random48_3,0.2,28,0.154589419
obj_03_pumpkin,0.2,3,10,random48_3,0.4,48,0.010765752
obj_03_pumpkin,0.2,3,10,random48_3,0.6,48,0.010765752
obj_03_pumpkin,0.2,3,10,random48_3,0.8,48,0.010765752
obj_03_pumpkin,0.2,3,10,random48_4,0.1,14,0.188754625
obj_03_pumpkin,0.2,3,10,random48_4,0.2,28,0.118684099
obj_03_pumpkin,0.2,3,10,random48_4,0.4,48,0.010765752
obj_03_pumpkin,0.2,3,10,random48_4,0.6,48,0.010765752
obj_03_pumpkin,0.2,3,10,random48_4,0.8,48,0.010765752
obj_03_pumpkin,0.2,3,100,random48_0,0.1,14,0.181578743
obj_03_pumpkin,0.2,3,100,random48_0,0.2,28,0.0864650768
obj_03_pumpkin,0.2,3,100,random48_0,0.4,48,0.00105999336
obj_03_pumpkin,0.2,3,100,random48_0,0.6,48,0.00105999336
obj_03_pumpkin,0.2,3,100,random48_0,0.8,48,0.00105999336
obj_03_pumpkin,0.2,3,100,random48_1,0.1,14,0.0617180231
obj_03_pumpkin,0.2,3,100,random48_1,0.2,28,0.0336071266
obj_03_pumpkin,0.2,3,100,random48_1,0.4,48,0.00105999336
obj_03_pumpkin,0.2,3,100,random48_1,0.6,48,0.00105999336
obj_03_pumpkin,0.2,3,100,random48_1,0.8,48,0.00105999336
obj_03_pumpkin,0.2,3,100,random48_2,0.1,14,0.112718257
obj_03_pumpkin,0.2,3,100,random48_2,0.2,28,0.00677503542
obj_03_pumpkin,0.2,3,100,random48_2,0.4,48,0.00105999336
obj_03_pumpkin,0.2,3,100,random48_2,0.6,48,0.00105999336
obj_03_pumpkin,0.2,3,100,random48_2,0.8,48,0.00105999336
obj_03_pumpkin,0.2,3,100,random48_3,0.1,14,0.0298634072
obj_03_pumpkin,0.2,3,100,random48_3,0.2,28,0.0372738892
obj_03_pumpkin,0.2,3,100,random48_3,0.4,48,0.00105999336
obj_03_pumpkin,0.2,3,100,random48_3,0.6,48,0.00105999336
