object_id,level,ctype,q,T_ol,P_mode,P_trace,P_logdet,P_emin,P_corr
obj_03_pumpkin,0.1,joint,1200,231.64102070316264,0.9843064410913859,0.0020055293220544446,0.0049472255744837275,0.9843064410913855,0.1
obj_03_pumpkin,0.2,joint,1200,839.4739954211793,0.9957161261672575,0.002143954754045163,0.006214747973937242,0.9957161261672575,0.2
obj_03_pumpkin,0.35,joint,1200,3605.8091572459507,0.9985297384101598,0.0023390146609858498,0.0074098063769443825,0.9985297384101597,0.35
obj_03_pumpkin,0.5,joint,1200,5798.003176551466,0.9992631219746162,0.002537621939011414,0.008327528603878833,0.9992631219746165,0.5
obj_03_pumpkin,0.75,joint,1200,21714.173865179844,0.99966671982139,0.002825239752029307,0.00954238126402937,0.9996667198213897,0.75
obj_03_pumpkin,1.0,joint,1200,6970.590846174679,0.9998110373392822,0.003037683409438219,0.010476507077233889,0.9998110373392828,1.0
obj_04_dolphin,0.1,joint,1200,405.6186938853601,0.8890383921503588,0.0015728944253451393,0.0027928971766809784,0.8890383921503581,0.1
obj_04_dolphin,0.2,joint,1200,1445.5101914967772,0.9646689218025064,0.001887967481605024,0.004080776494597612,0.9646689218025076,0.2
obj_04_dolphin,0.35,joint,1200,2492.752307908425,0.9869448016876093,0.0020465897463362026,0.005105197874021978,0.9869448016876086,0.35
obj_04_dolphin,0.5,joint,1200,9030.517503735979,0.9932641328143399,0.0021257835762927835,0.005762345248737391,0.9932641328143399,0.5
obj_04_dolphin,0.75,joint,1200,16266.811936910806,0.9968887074025816,0.0022242677942070355,0.006546226689084453,0.9968887074025816,0.75
obj_04_dolphin,1.0,joint,1200,20500.27721063111,0.9982183301016233,0.0023190039064449053,0.00715328149564125,0.9982183301016244,1.0
obj_07_pumpkin2,0.1,joint,1200,352.17232882724136,0.8702815303454989,0.0017528318058740444,0.0029224605956285057,0.8702815303454993,0.1
obj_07_pumpkin2,0.2,joint,1200,868.6018761553652,0.957573995133543,0.0021040688728642953,0.00426525533538426,0.9575739951335429,0.2
obj_07_pumpkin2,0.35,joint,1200,3844.747512957999,0.9840986521740822,0.0022663204351878186,0.005300419032959204,0.984098652174081,0.35
obj_07_pumpkin2,0.5,joint,1200,2888.16412155752,0.9917241751765543,0.002347554174235711,0.005960237765517696,0.9917241751765534,0.5
obj_07_pumpkin2,0.75,joint,1200,5426.034927340698,0.9961373049764931,0.0024517735880700275,0.006750750644051468,0.996137304976493,0.75
obj_07_pumpkin2,1.0,joint,1200,13224.15613857302,0.9977707214401642,0.002553678906418777,0.007368507559552554,0.997770721440165,1.0
obj_09_ball,0.1,joint,1200,360.7579104743781,0.9760090386457534,0.0021165550842628944,0.004739853680272538,0.9760090386457533,0.1
