object_id,level,ctype,mode_id,pred_deg,emp_deg,rho,seed_count
obj_03_pumpkin,0.1,joint,0,63.72040948921454,231.64102070316264,0.01569355890861408,20
obj_03_pumpkin,0.1,joint,1,2.0301224324445917,122.49534372636711,0.49258112910748947,20
obj_03_pumpkin,0.1,joint,2,1.7418641203713223,169.25877223748122,0.5740975936669646,20
obj_03_pumpkin,0.1,joint,3,1.218400923005734,28.77830419421288,0.8207479008904968,20
obj_03_pumpkin,0.1,joint,4,1.1359655026064046,15.444537497235906,0.8803084228399191,20
obj_03_pumpkin,0.2,joint,0,233.43357882223438,495.7842055613491,0.004283873832742484,20
obj_03_pumpkin,0.2,joint,1,2.177046935119885,749.542951065877,0.45933782311630883,20
obj_03_pumpkin,0.2,joint,2,1.8331378958224351,839.4739954211793,0.5455126983512341,20
obj_03_pumpkin,0.2,joint,3,1.242058978478015,181.7633507378221,0.8051147468257688,20
obj_03_pumpkin,0.2,joint,4,1.1611511778645076,75.7961923185305,0.8612143010000787,20
obj_03_pumpkin,0.35,joint,0,680.1510744143584,3422.9537240642385,0.001470261589840237,20
obj_03_pumpkin,0.35,joint,1,2.479562498810087,3605.8091572459507,0.40329695278093947,20
obj_03_pumpkin,0.35,joint,2,2.0072501468959354,341.2925837986958,0.4981940101219703,20
obj_03_pumpkin,0.35,joint,3,1.2865352081820998,645.4479019088292,0.7772814872381303,20
obj_03_pumpkin,0.35,joint,4,1.1932510736611612,411.0575169313681,0.8380465956186206,20
obj_03_pumpkin,0.5,joint,0,1357.0767013702393,5798.003176551466,0.0007368780253837537,20
obj_03_pumpkin,0.5,joint,1,2.878696656639179,3158.5985926464905,0.3473794287055865,20
obj_03_pumpkin,0.5,joint,2,2.245490184652507,1798.9523777118434,0.44533706129503814,20
obj_03_pumpkin,0.5,joint,3,1.3400561298780784,774.0050760464896,0.7462373983476218,20
obj_03_pumpkin,0.5,joint,4,1.2261797268590766,199.85519946397412,0.8155411299790057,20
obj_03_pumpkin,0.75,joint,0,3000.478468808851,21714.173865179844,0.0003332801786099756,20
obj_03_pumpkin,0.75,joint,1,3.6458534901106048,4876.397072839278,0.27428419784626695,20
obj_03_pumpkin,0.75,joint,2,2.740486323015425,4911.0593409912935,0.3648987377173535,20
obj_03_pumpkin,0.75,joint,3,1.4294647199379509,1161.9872421490945,0.6995625607628898,20
obj_03_pumpkin,0.75,joint,4,1.2795095781937993,783.4522780974555,0.7815494444454532,20
obj_03_pumpkin,1.0,joint,0,5292.050800945188,6970.590846174679,0.0001889626607177306,20
obj_03_pumpkin,1.0,joint,1,4.4122758050509825,5849.375530418095,0.22664041056890488,20
obj_03_pumpkin,1.0,joint,2,3.2842385186631833,2599.031589863407,0.3044845842704019,20
obj_03_pumpkin,1.0,joint,3,1.504280681398338,1013.5761096689025,0.6647695555529088,20
obj_03_pumpkin,1.0,joint,4,1.3244338855251516,1054.3592172019735,0.755039576477983,20
obj_04_dolphin,0.1,joint,0,9.012126080175886,405.6186938853601,0.11096160784964111,20
obj_04_dolphin,0.1,joint,1,1.6009475975902714,99.7155896380217,0.6246300637854661,20
obj_04_dolphin,0.1,joint,2,1.3660028024824082,42.76028056531182,0.7320629197705312,20
obj_04_dolphin,0.1,joint,3,1.1302994745695223,16.698951359930756,0.884721281836261,20
